genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	external_gene_name	chromosome_name	start_position	end_position
ENSG00000230021	70.9308656767059	-0.410432265009538	0.146231236030326	-2.80673456746561	0.00500464608294982	0.0394737442084724		1	586071	827796
ENSG00000228794	425.655699131379	-0.344321636527613	0.0793360143098164	-4.34004202912181	1.42455466927762e-05	0.00050409919296912	LINC01128	1	825138	859446
ENSG00000272438	76.355371079091	-0.511429008258273	0.173663686400748	-2.94493926080836	0.003230180680103	0.0289938573685256		1	904834	915976
ENSG00000230699	345.60447377285	-0.558395804023151	0.186905409599983	-2.98758503147788	0.00281191061516108	0.0264208235028502		1	911435	914948
ENSG00000223764	273.02498586186	-0.477972882825601	0.137349199425669	-3.4799830273803	0.00050144554850907	0.00739178526586357	LINC02593	1	916865	921016
ENSG00000187634	381.859075417514	-0.910390393954231	0.153468421501481	-5.93210241590611	2.99079959560761e-09	4.68135302156937e-07	SAMD11	1	923923	944575
ENSG00000188976	7163.25092721924	-0.151569639085342	0.031299136456131	-4.8426140861037	1.28142016352079e-06	7.09641649177375e-05	NOC2L	1	944203	959309
ENSG00000187961	1416.43484067272	-0.249155327429494	0.0756048216166409	-3.2954952091925	0.000982483786781823	0.0121972022959307	KLHL17	1	960584	965719
ENSG00000188290	601.085607241643	-0.297748479203451	0.0567084424200793	-5.25051414739658	1.51675254270496e-07	1.21795229179208e-05	HES4	1	998962	1000172
ENSG00000242590	240.823395685071	-0.29833706671579	0.0934500263824297	-3.19247707319945	0.00141058142253418	0.0157824860341204		1	1055033	1056116
ENSG00000184163	34.2483759678261	0.763602400967573	0.251268353677932	3.03899153948505	0.00237371520544224	0.0232450403654892	C1QTNF12	1	1242446	1246722
ENSG00000169972	553.586390045944	-0.201719282096821	0.0672141309922056	-3.00114394278509	0.00268967388216732	0.0255250519989786	PUSL1	1	1308597	1311677
ENSG00000228594	203.040233082132	0.610392490057187	0.174258970369256	3.50278949062859	0.00046041317377304	0.00695550379307781	FNDC10	1	1598012	1600135
ENSG00000197530	596.697463727367	0.524828643258001	0.113298100374701	4.63228104904035	3.6165873319647e-06	0.000162947188625519	MIB2	1	1615454	1630605
ENSG00000008130	2157.88895031006	-0.212174958394977	0.0484305648028483	-4.38101350373883	1.18128549128083e-05	0.000434971401886441	NADK	1	1751232	1780457
ENSG00000158109	309.761978377594	0.310093994483118	0.0722719984404357	4.29065199765698	1.78149301612112e-05	0.00059605787164386	TPRG1L	1	3625015	3630127
ENSG00000069424	198.085080240782	0.613560231319024	0.221431268028371	2.77088342934662	0.00559044368184659	0.0427849278554227	KCNAB2	1	5990927	6101193
ENSG00000116254	18.3257688986899	1.32619516017586	0.283474675200297	4.67835498616871	2.89185579325514e-06	0.000136907404198596	CHD5	1	6101787	6180321
ENSG00000226944	60.7320628431674	-0.464533885482386	0.141944887117278	-3.27263556241076	0.00106549763538453	0.0128884470634752	RNF207-AS1	1	6204840	6205780
ENSG00000158292	187.906928879054	0.322530946062738	0.111923237339236	2.88171566271941	0.00395516466555791	0.0333909938890085	GPR153	1	6247353	6261098
ENSG00000171735	652.668554046197	0.501842111804343	0.182893202136341	2.74390795252323	0.00607125590658842	0.0452696060952612	CAMTA1	1	6785454	7769706
ENSG00000049246	1025.77725754975	-0.181610145174115	0.065436833113522	-2.77535046445558	0.00551422507706458	0.0423412986976662	PER3	1	7784291	7845177
ENSG00000180758	380.10623298537	0.33004829192852	0.0981838314877886	3.36153404208481	0.000775108014947655	0.0102099086032032	GPR157	1	9100305	9129102
ENSG00000178585	597.272131474445	0.202326191095407	0.0638547593295245	3.16853736855066	0.00153208052301747	0.0167201665913761	CTNNBIP1	1	9848276	9910336
ENSG00000054523	4185.29587515174	-0.168477431469043	0.0587681930207736	-2.86681319960763	0.00414627666036748	0.0345434812909626	KIF1B	1	10210570	10381603
ENSG00000130940	279.196043340021	-0.26627164090537	0.0858771976836748	-3.10060933620786	0.00193122900215703	0.0200199598346745	CASZ1	1	10636604	10796650
ENSG00000132879	743.896220947247	0.353920142402425	0.0852664703401748	4.15075399498118	3.31381794642581e-05	0.000955606230462404	FBXO44	1	11654375	11663327
ENSG00000177674	582.951340959043	-0.295642977372844	0.105622705202242	-2.79904757984335	0.00512535845211754	0.0400326351527535	AGTRAP	1	11736084	11754802
ENSG00000285646	38.8070547401949	-1.11603630283004	0.372490667447604	-2.99614567655451	0.00273415781199776	0.0257947342064569		1	11907940	11914298
ENSG00000116685	1454.682026025	0.133956660848297	0.0403050536809092	3.32356984086456	0.00088873165791631	0.0113556266628081	KIAA2013	1	11919591	11926428
ENSG00000083444	1960.78599079827	0.182438273203277	0.0514887007992085	3.5432681417761	0.000395200650841466	0.00614243187266317	PLOD1	1	11934205	11975538
